smiles,Tg
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,283
C(C(C(C(C=O)O)O)O)O,283
CC3(c1ccc(O)cc1)CCCc2ccccc23,283
CC(Nc1ccc(N(=O)=O)cc1N(=O)=O)c2ccccc2,283
C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,283
CC(O)C(O)C(O)C(O)C=O,283
OC1COC(O)C(O)C1O,283
OCC(O)C(O)C(O)C(O)CO,283
O=C(O)CC(O)(CC(=O)O)C(=O)O,283
O=CC(O)C(O)C(O)CO,283
C(C1C(C(C(C(O1)O)O)O)O)O,283.5
OCC1OC(O)C(O)C(O)C1O,283.5
C(C(C(C(C(CO)O)O)O)O)O,283.9
C(C(CC(=O)O)C(=O)O)C(=O)O,284
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,284
C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,284
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,284
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,284
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,284
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,284
O=C(O)C(O)C(O)C(=O)O,284.1
C(C1C(C(C(C(O1)O)O)O)O)O,284.7
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,284.7
OCC1OC(O)C(O)C(O)C1O,284.7
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,284.85
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,285.5
CC(C(=O)OC)O,286
C1C(C(C(C(O1)(CO)O)O)O)O,286
C1C(C(C(C(O1)(CO)O)O)O)O,286
C(C(C(C(C=O)O)O)O)O,286
CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,286
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,286
C1=CC(=CC(=C1)Cl)N,286
COC(=O)C(C)O,286
O=C(CO)C(O)C(O)C(O)CO,286
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,286
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,286
Nc1cccc(Cl)c1,286
COC1=CC=C(C=C1)N,287
CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2,287
CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2,287
COc1ccc(N)cc1,287
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,287
CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,288
CC(C)C1CCC(C)CC1OC(=O)Nc2cccc(N(=O)=O)c2,288
O=C(O)C(O)C(O)C(=O)O,288
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,288
O=C(O)C(O)C(O)C(=O)O,289
CC(c1ccccc1)n3c(=O)c2cccc(N(=O)=O)c2c3=O,289
O=C(O)C(O)C(O)C(=O)O,289
C(C1C(C(C(C(O1)O)O)O)O)O,290
C(C1C(C(C(C(O1)O)O)O)O)O,290
CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,290
CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C,290
C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,290
C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,290
C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,290
O=[N+]([O-])[O-].[Na+],290
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,290
OCC1OC(O)C(O)C(O)C1O,290
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,290
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,290
O=C(O)C(O)C(O)C(=O)O,291
CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,291
